symbol,source_feed,bucket,required_asset,last_date,polygon_ticker,security_type,note
A-199008,norgate,norgate_only_delisted_keep,False,1990-08-14,,equity_or_etf,"delisted, keep full history"
A-199503,norgate,norgate_only_delisted_keep,False,1995-03-09,,equity_or_etf,"delisted, keep full history"
A-199904,norgate,norgate_only_delisted_keep,False,1999-04-22,,equity_or_etf,"delisted, keep full history"
AAAB-200301,norgate,norgate_only_delisted_keep,False,2003-01-29,,equity_or_etf,"delisted, keep full history"
AAAGY-201008,norgate,norgate_only_delisted_keep,False,2010-08-12,,equity_or_etf,"delisted, keep full history"
AAAP-201802,norgate,norgate_only_delisted_keep,False,2018-02-09,,equity_or_etf,"delisted, keep full history"
AAB-199904,norgate,norgate_only_delisted_keep,False,1999-04-05,,equity_or_etf,"delisted, keep full history"
AABA-201910,norgate,norgate_only_delisted_keep,False,2019-10-02,,equity_or_etf,"delisted, keep full history"
AABC-200601,norgate,norgate_only_delisted_keep,False,2006-01-03,,equity_or_etf,"delisted, keep full history"
AAC-199601,norgate,norgate_only_delisted_keep,False,1996-01-05,,equity_or_etf,"delisted, keep full history"
AAC-200004,norgate,norgate_only_delisted_keep,False,2000-04-03,,equity_or_etf,"delisted, keep full history"
AAC-202311,norgate,norgate_only_delisted_keep,False,2023-11-06,,equity_or_etf,"delisted, keep full history"
AAC.U-202311,norgate,norgate_only_delisted_keep,False,2023-11-06,,equity_or_etf,"delisted, keep full history"
AACB-200708,norgate,norgate_only_delisted_keep,False,2007-08-15,,equity_or_etf,"delisted, keep full history"
AACBU,norgate,norgate_only_delisted_keep,False,2026-04-13,,equity_or_etf,"delisted, keep full history"
AACC-201306,norgate,norgate_only_delisted_keep,False,2013-06-13,,equity_or_etf,"delisted, keep full history"
AACE-200610,norgate,norgate_only_delisted_keep,False,2006-10-05,,equity_or_etf,"delisted, keep full history"
AACH-202012,norgate,norgate_only_delisted_keep,False,2020-12-14,,equity_or_etf,"delisted, keep full history"
AACI-199711,norgate,norgate_only_delisted_keep,False,1997-11-07,,equity_or_etf,"delisted, keep full history"
AACIB-199711,norgate,norgate_only_delisted_keep,False,1997-11-07,,equity_or_etf,"delisted, keep full history"
AACIU-202408,norgate,norgate_only_delisted_keep,False,2024-08-15,,equity_or_etf,"delisted, keep full history"
AACOU,norgate,norgate_only_delisted_keep,False,2026-04-17,,equity_or_etf,"delisted, keep full history"
AACOU-201210,norgate,norgate_only_delisted_keep,False,2012-10-15,,equity_or_etf,"delisted, keep full history"
AACOW,norgate,norgate_only_delisted_keep,False,2026-04-21,,equity_or_etf,"delisted, keep full history"
AACPF-201211,norgate,norgate_only_delisted_keep,False,2012-11-13,,equity_or_etf,"delisted, keep full history"
AACQU-202106,norgate,norgate_only_delisted_keep,False,2021-06-24,,equity_or_etf,"delisted, keep full history"
AACT.U-202509,norgate,norgate_only_delisted_keep,False,2025-09-24,,equity_or_etf,"delisted, keep full history"
AADV-199804,norgate,norgate_only_delisted_keep,False,1998-04-01,,equity_or_etf,"delisted, keep full history"
AAF-199808,norgate,norgate_only_delisted_keep,False,1998-08-24,,equity_or_etf,"delisted, keep full history"
AAFG-199807,norgate,norgate_only_delisted_keep,False,1998-07-16,,equity_or_etf,"delisted, keep full history"
AAGIY-199905,norgate,norgate_only_delisted_keep,False,1999-05-21,,equity_or_etf,"delisted, keep full history"
AAH-199805,norgate,norgate_only_delisted_keep,False,1998-05-08,,equity_or_etf,"delisted, keep full history"
AAI-199908,norgate,norgate_only_delisted_keep,False,1999-08-20,,equity_or_etf,"delisted, keep full history"
AAI-201105,norgate,norgate_only_delisted_keep,False,2011-05-02,,equity_or_etf,"delisted, keep full history"
AAIC-202312,norgate,norgate_only_delisted_keep,False,2023-12-13,,equity_or_etf,"delisted, keep full history"
AAIIQ,norgate,norgate_only_delisted_keep,False,2025-12-08,,equity_or_etf,"delisted, keep full history"
AAIIQ-200603,norgate,norgate_only_delisted_keep,False,2006-03-07,,equity_or_etf,"delisted, keep full history"
AAIR-199711,norgate,norgate_only_delisted_keep,False,1997-11-17,,equity_or_etf,"delisted, keep full history"
AAIT-201508,norgate,norgate_only_delisted_keep,False,2015-08-21,,equity_or_etf,"delisted, keep full history"
AAL-199702,norgate,norgate_only_delisted_keep,False,1997-02-21,,equity_or_etf,"delisted, keep full history"
AALR-199707,norgate,norgate_only_delisted_keep,False,1997-07-23,,equity_or_etf,"delisted, keep full history"
AAM-199501,norgate,norgate_only_delisted_keep,False,1995-01-24,,equity_or_etf,"delisted, keep full history"
AAM-202602,norgate,norgate_only_delisted_keep,False,2026-02-02,,equity_or_etf,"delisted, keep full history"
AAM.U-202601,norgate,norgate_only_delisted_keep,False,2026-01-26,,equity_or_etf,"delisted, keep full history"
AAMC-199412,norgate,norgate_only_delisted_keep,False,1994-12-06,,equity_or_etf,"delisted, keep full history"
AAMCF,norgate,norgate_only_delisted_keep,False,2025-11-11,,equity_or_etf,"delisted, keep full history"
AAMRQ-201312,norgate,norgate_only_delisted_keep,False,2013-12-06,,equity_or_etf,"delisted, keep full history"
AAN-201012,norgate,norgate_only_delisted_keep,False,2010-12-10,,equity_or_etf,"delisted, keep full history"
AAN-202410,norgate,norgate_only_delisted_keep,False,2024-10-03,,equity_or_etf,"delisted, keep full history"
AANB-200909,norgate,norgate_only_delisted_keep,False,2009-09-30,,equity_or_etf,"delisted, keep full history"
AANI-201206,norgate,norgate_only_delisted_keep,False,2012-06-08,,equity_or_etf,"delisted, keep full history"
AAP-200004,norgate,norgate_only_delisted_keep,False,2000-04-26,,equity_or_etf,"delisted, keep full history"
