symbol,source_feed,bucket,required_asset,last_date,polygon_ticker,security_type,note
#AMEXAD,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXADR,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXADV,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXADVR,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXDEC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXTRIN,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#AMEXUNC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#CBOEPC,norgate,norgate_only_exclude_nontradeable,False,2026-04-21,,breadth,norgate breadth/index
#CBOEPCE,norgate,norgate_only_exclude_nontradeable,False,2026-04-21,,breadth,norgate breadth/index
#CBOEPCI,norgate,norgate_only_exclude_nontradeable,False,2026-04-21,,breadth,norgate breadth/index
#CBOEPCSPX,norgate,norgate_only_exclude_nontradeable,False,2026-04-21,,breadth,norgate breadth/index
#COMP%MA100,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP%MA150,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP%MA20,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP%MA200,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP%MA50,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP13WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP13WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP13WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP26WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP26WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP26WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP4WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP4WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP4WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP52WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP52WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMP52WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPAD,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPADR,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPADV,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPAVGBB%B,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPAVGW%R,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPBB%B,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPCOPP,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPDEC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPITBM,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPITVM,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPMCOSC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPMCOSCV,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPMCSUM,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPSWTR,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPTRIN,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPUNC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPW%R,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#COMPZWBT,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI%MA100,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI%MA150,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI%MA20,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI%MA200,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI%MA50,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI13WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI13WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI13WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI26WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI26WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI26WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI4WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI4WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI4WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI52WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI52WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJI52WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIAD,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIADR,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIADV,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIAVGBB%B,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIAVGW%R,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIBB%B,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJICOPP,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIDEC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIITBM,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIITVM,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIMCOSC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIMCOSCV,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIMCSUM,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJISWTR,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJITRIN,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIUNC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIW%R,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIXAU,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#DJIZWBT,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID%MA100,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID%MA150,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID%MA20,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID%MA200,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID%MA50,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID13WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID13WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID13WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID26WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID26WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID26WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID4WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID4WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID4WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID52WHI,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID52WHL,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MID52WLO,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDAD,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDADR,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDADV,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDAVGBB%B,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDAVGW%R,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDBB%B,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDCOPP,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDDEC,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDITBM,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
#MIDITVM,norgate,norgate_only_exclude_nontradeable,False,2026-04-22,,breadth,norgate breadth/index
