symbol,source_feed,bucket,required_asset,last_date,polygon_ticker,security_type,note
AAGR,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
AAPJ,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AASP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AATC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AAUAF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AAVVF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ABBNY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ABCP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ABPO,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ABVE,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ABVEW,norgate,norgate_only_review,False,2026-04-22,,warrant,"active, no polygon match -> review"
ACGP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ACLX,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ADAPY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ADNH,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ADRNY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AERG,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AEYGQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
AFFS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AFFT,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AFFY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AFIIQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
AFLYY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AFMDQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
AFSIC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AFSIM,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AFSIN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AFSIP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AGAE,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AGH,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AIEV,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AIIA_R,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
AIMN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AKZOY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ALCE,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ALCY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ALCYW,norgate,norgate_only_review,False,2026-04-22,,warrant,"active, no polygon match -> review"
ALLGF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ALPP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ALTS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ALUR,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
ALURW,norgate,norgate_only_review,False,2026-04-22,,warrant,"active, no polygon match -> review"
ALYAF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AMBIQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
AMBK,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AMEN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AMFC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AMLIF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AMNF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AMWD,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ANEB,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ANTH,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ANZGY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AONC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AOXG,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
APAD,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
APADR,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
APCX,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
APGI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
APLS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
APTOF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ARDS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ARHN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ASAIY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ASCRF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ASGN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ASMIY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ASNS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ASPU,norgate,norgate_only_review,False,2026-04-22,,unit,"active, no polygon match -> review"
ATEYY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ATGN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ATXI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AUMN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AUOTY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AVLNF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AVVIY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AWHL,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AXAHY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AZREF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BASFY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BAYRY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BBIG,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BCLI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BCOW,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BCTF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BDCO,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BDRLQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
BESIY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BEVFF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BGXXQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
BHATF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BIGGQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
