symbol,source_feed,bucket,required_asset,last_date,polygon_ticker,security_type,note
ADAC,polygon,polygon_only_coverage_gap,False,,ADAC,CS,American Drive Acquisition Company Class A Ordinary Shares
AGM.A,polygon,polygon_only_coverage_gap,False,,AGM.A,CS,Federal Agricultural Mortgage Corporation Class A Voting
ALDF,polygon,polygon_only_coverage_gap,False,,ALDF,CS,Aldel Financial II Inc. Class A Ordinary Shares
ALF,polygon,polygon_only_coverage_gap,False,,ALF,CS,Centurion Acquisition Corp. Class A Ordinary Shares
ALUB,polygon,polygon_only_coverage_gap,False,,ALUB,CS,Alussa Energy Acquisition Corp. II
ANSC,polygon,polygon_only_coverage_gap,False,,ANSC,CS,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares
APAC,polygon,polygon_only_coverage_gap,False,,APAC,CS,StoneBridge Acquisition II Corporation Class A Ordinary Shares
AXIAp,polygon,polygon_only_coverage_gap,False,,AXIAp,ADRC,"AXIA Energia American Depositary Shares, each representing one Preferred Class B1 Share"
BGLC,polygon,polygon_only_coverage_gap,False,,BGLC,CS,BioNexus Gene Lab Corp Common stock
BKHA,polygon,polygon_only_coverage_gap,False,,BKHA,CS,Black Hawk Acquisition Corporation Class A Ordinary Shares
BLIV,polygon,polygon_only_coverage_gap,False,,BLIV,CS,BeLive Holdings Ordinary Share
BPAC,polygon,polygon_only_coverage_gap,False,,BPAC,CS,Blueport Acquisition Ltd Class A Ordinary Shares
BSAA,polygon,polygon_only_coverage_gap,False,,BSAA,CS,BEST SPAC I Acquisition Corp. Class A Ordinary Shares
BYFC,polygon,polygon_only_coverage_gap,False,,BYFC,CS,Broadway Financial Corp/Del
CAPN,polygon,polygon_only_coverage_gap,False,,CAPN,CS,Cayson Acquisition Corp Ordinary shares
CHPG,polygon,polygon_only_coverage_gap,False,,CHPG,CS,ChampionsGate Acquisition Corporation Class A Ordinary Share
CNF,polygon,polygon_only_coverage_gap,False,,CNF,ADRC,"CNFinance Holdings Limited American Depositary Shares, each representing two hundred (200) Ordinary Shares"
CON,polygon,polygon_only_coverage_gap,False,,CON,CS,"Concentra Group Holdings Parent, Inc."
DBCA,polygon,polygon_only_coverage_gap,False,,DBCA,CS,D. Boral Acquisition I Corp. Class A Ordinary Shares
DMII,polygon,polygon_only_coverage_gap,False,,DMII,CS,Drugs Made In America Acquisition II Corp. Ordinary Shares
EURK,polygon,polygon_only_coverage_gap,False,,EURK,CS,Eureka Acquisition Corp Class A Ordinary Share
EVOX,polygon,polygon_only_coverage_gap,False,,EVOX,CS,Evolution Global Acquisition Corp Class A Ordinary Shares
FIGX,polygon,polygon_only_coverage_gap,False,,FIGX,CS,FIGX Capital Acquisition Corp. Class A Ordinary Share
FORTY,polygon,polygon_only_coverage_gap,False,,FORTY,ADRC,Formula Systems 1985 Ltd
