symbol,source_feed,bucket,required_asset,last_date,polygon_ticker,security_type,note
AACBU,polygon,polygon_only_exclude_nontradeable,False,,AACBU,UNIT,Artius II Acquisition Inc. Units
AACOU,polygon,polygon_only_exclude_nontradeable,False,,AACOU,UNIT,Abony Acquisition Corp. I Units
AACOW,polygon,polygon_only_exclude_nontradeable,False,,AACOW,WARRANT,Abony Acquisition Corp. I Warrants
AACPR,polygon,polygon_only_exclude_nontradeable,False,,AACPR,RIGHT,Apogee Acquisition Corp Rights
AACPW,polygon,polygon_only_exclude_nontradeable,False,,AACPW,WARRANT,Apogee Acquisition Corp Warrant
ABLVW,polygon,polygon_only_exclude_nontradeable,False,,ABLVW,WARRANT,Able View Global Inc. Warrant
ACGCW,polygon,polygon_only_exclude_nontradeable,False,,ACGCW,WARRANT,ACP Holdings Acquisition Corp. Warrants
ADACU,polygon,polygon_only_exclude_nontradeable,False,,ADACU,UNIT,American Drive Acquisition Company Units
ADSEW,polygon,polygon_only_exclude_nontradeable,False,,ADSEW,WARRANT,ADS-TEC ENERGY PLC Warrant
AESPU,polygon,polygon_only_exclude_nontradeable,False,,AESPU,UNIT,Aeon Acquisition I Corp. Units
AFJKU,polygon,polygon_only_exclude_nontradeable,False,,AFJKU,UNIT,"Aimei Health Technology Co., Ltd Unit"
AGMpH,polygon,polygon_only_exclude_nontradeable,False,,AGMpH,PFD,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H"
AGMpI,polygon,polygon_only_exclude_nontradeable,False,,AGMpI,PFD,"Federal Agricultural Mortgage Corporation 6.875% Non-Cumulative Preferred Stock, Series I"
AIIAr,polygon,polygon_only_exclude_nontradeable,False,,AIIAr,RIGHT,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share"
ALDFU,polygon,polygon_only_exclude_nontradeable,False,,ALDFU,UNIT,Aldel Financial II Inc. Units
ALDFW,polygon,polygon_only_exclude_nontradeable,False,,ALDFW,WARRANT,Aldel Financial II Inc. Warrants
ALFUU,polygon,polygon_only_exclude_nontradeable,False,,ALFUU,UNIT,Centurion Acquisition Corp. Unit
ALISR,polygon,polygon_only_exclude_nontradeable,False,,ALISR,RIGHT,Calisa Acquisition Corp Right
ALISU,polygon,polygon_only_exclude_nontradeable,False,,ALISU,UNIT,Calisa Acquisition Corp Units
ALOVU,polygon,polygon_only_exclude_nontradeable,False,,ALOVU,UNIT,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. Units"
ALUB.U,polygon,polygon_only_exclude_nontradeable,False,,ALUB.U,UNIT,"Alussa Energy Acquisition Corp. II Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant"
ALUB.WS,polygon,polygon_only_exclude_nontradeable,False,,ALUB.WS,WARRANT,"Alussa Energy Acquisition Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share"
ANSCU,polygon,polygon_only_exclude_nontradeable,False,,ANSCU,UNIT,Agriculture & Natural Solutions Acquisition Corporation Unit
APACR,polygon,polygon_only_exclude_nontradeable,False,,APACR,RIGHT,StoneBridge Acquisition II Corporation Rights
APACU,polygon,polygon_only_exclude_nontradeable,False,,APACU,UNIT,StoneBridge Acquisition II Corporation Units
APMCU,polygon,polygon_only_exclude_nontradeable,False,,APMCU,UNIT,AmperCap Acquisition Company Unit
APURU,polygon,polygon_only_exclude_nontradeable,False,,APURU,UNIT,Aperture AC Unit
APXTU,polygon,polygon_only_exclude_nontradeable,False,,APXTU,UNIT,Apex Treasury Corporation Units
APXTW,polygon,polygon_only_exclude_nontradeable,False,,APXTW,WARRANT,Apex Treasury Corporation Warrants
ARCIW,polygon,polygon_only_exclude_nontradeable,False,,ARCIW,WARRANT,Archimedes Tech SPAC Partners III Co. Warrant
ARCLR,polygon,polygon_only_exclude_nontradeable,False,,ARCLR,RIGHT,ARC Group Acquisition I Corp Right
ARCLU,polygon,polygon_only_exclude_nontradeable,False,,ARCLU,UNIT,ARC Group Acquisition I Corp Unit
ARCLW,polygon,polygon_only_exclude_nontradeable,False,,ARCLW,WARRANT,ARC Group Acquisition I Corp Warrants
ARTCU,polygon,polygon_only_exclude_nontradeable,False,,ARTCU,UNIT,Art Technology Acquisition Corp. Units
ARTCW,polygon,polygon_only_exclude_nontradeable,False,,ARTCW,WARRANT,Art Technology Acquisition Corp. Warrants
ASPCU,polygon,polygon_only_exclude_nontradeable,False,,ASPCU,UNIT,A SPAC III Acquisition Corp. Unit
ATHpE,polygon,polygon_only_exclude_nontradeable,False,,ATHpE,PFD,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share, Series E"
ATIIU,polygon,polygon_only_exclude_nontradeable,False,,ATIIU,UNIT,Archimedes Tech SPAC Partners II Co. Unit
AXINR,polygon,polygon_only_exclude_nontradeable,False,,AXINR,RIGHT,Axiom Intelligence Acquisition Corp 1 Right
AXINU,polygon,polygon_only_exclude_nontradeable,False,,AXINU,UNIT,Axiom Intelligence Acquisition Corp 1 Units
BANFP,polygon,polygon_only_exclude_nontradeable,False,,BANFP,PFD,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Pfd Secs
BAYAU,polygon,polygon_only_exclude_nontradeable,False,,BAYAU,UNIT,Bayview Acquisition Corp Unit
BBLGW,polygon,polygon_only_exclude_nontradeable,False,,BBLGW,WARRANT,Bone Biologics Corp Warrants
BCGWW,polygon,polygon_only_exclude_nontradeable,False,,BCGWW,WARRANT,"Binah Capital Group, Inc. Warrants"
BCSS.U,polygon,polygon_only_exclude_nontradeable,False,,BCSS.U,UNIT,"Bain Capital GSS Investment Corp. Units, each consisting of one Class A Ordinary Share and one-fifth of one redeemable warrant"
BCpC,polygon,polygon_only_exclude_nontradeable,False,,BCpC,SP,Brunswick Corporation 6.375% Notes due 2049
BEAGR,polygon,polygon_only_exclude_nontradeable,False,,BEAGR,RIGHT,Bold Eagle Acquisition Corp. Right
BEAGU,polygon,polygon_only_exclude_nontradeable,False,,BEAGU,UNIT,Bold Eagle Acquisition Corp. Units
BEATW,polygon,polygon_only_exclude_nontradeable,False,,BEATW,WARRANT,"Heartbeam, Inc. Warrant"
BEBE.WS,polygon,polygon_only_exclude_nontradeable,False,,BEBE.WS,WARRANT,"TGE Value Creative Solutions Corp Redeemable warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share"
BESS.WS,polygon,polygon_only_exclude_nontradeable,False,,BESS.WS,WARRANT,"Bimergen Energy Corporation Warrants, each share exercisable to purchase one share of Common Stock"
BFHpB,polygon,polygon_only_exclude_nontradeable,False,,BFHpB,PFD,"Bread Financial Holdings, Inc. Depositary Shares, each representing a 1/40th interest in a share of 8.875% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B"
BIAFW,polygon,polygon_only_exclude_nontradeable,False,,BIAFW,WARRANT,"bioAffinity Technologies, Inc. Warrant"
BIDWU,polygon,polygon_only_exclude_nontradeable,False,,BIDWU,UNIT,Tribeca Strategic Acquisition Corp. Unit
BIII.U,polygon,polygon_only_exclude_nontradeable,False,,BIII.U,UNIT,"Black Spade Acquisition III Co Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant"
BIII.WS,polygon,polygon_only_exclude_nontradeable,False,,BIII.WS,WARRANT,"Black Spade Acquisition III Co Redeemable warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50"
BIXIW,polygon,polygon_only_exclude_nontradeable,False,,BIXIW,WARRANT,Bitcoin Infrastructure Acquisition Corp Ltd. Warrant
BKHAR,polygon,polygon_only_exclude_nontradeable,False,,BKHAR,RIGHT,Black Hawk Acquisition Corporation Rights
BKHAU,polygon,polygon_only_exclude_nontradeable,False,,BKHAU,UNIT,Black Hawk Acquisition Corporation Units
BLRKU,polygon,polygon_only_exclude_nontradeable,False,,BLRKU,UNIT,Bluerock Acquisition Corp. Unit
BLUWW,polygon,polygon_only_exclude_nontradeable,False,,BLUWW,WARRANT,Blue Water Acquisition Corp. III Warrant
BLZRU,polygon,polygon_only_exclude_nontradeable,False,,BLZRU,UNIT,Trailblazer Acquisition Corp. Unit
BNCWZ,polygon,polygon_only_exclude_nontradeable,False,,BNCWZ,WARRANT,CEA Industries Inc. Warrant
BNYpK,polygon,polygon_only_exclude_nontradeable,False,,BNYpK,PFD,"The Bank of New York Mellon Corporation Depositary Shares, each representing a 1/4,000th interest in a share of Series K Noncumulative Perpetual Preferred Stock"
BPACU,polygon,polygon_only_exclude_nontradeable,False,,BPACU,UNIT,Blueport Acquisition Ltd Units
BREZU,polygon,polygon_only_exclude_nontradeable,False,,BREZU,UNIT,Breeze Acquisition Corp. II Units
BRKHU,polygon,polygon_only_exclude_nontradeable,False,,BRKHU,UNIT,Burtech Acquisition Corp II Unit
BRLSW,polygon,polygon_only_exclude_nontradeable,False,,BRLSW,WARRANT,Borealis Foods Inc. Warrant
BRUNW,polygon,polygon_only_exclude_nontradeable,False,,BRUNW,WARRANT,Boost Run Inc. Warrant
BSAAU,polygon,polygon_only_exclude_nontradeable,False,,BSAAU,UNIT,BEST SPAC I Acquisition Corp. Unit
BWIV.WS,polygon,polygon_only_exclude_nontradeable,False,,BWIV.WS,WARRANT,Blue Water Acquisition Corp. IV Warrants entitling the holder to purchase one Class A ordinary share at a price of $11.50 per share
CAIIU,polygon,polygon_only_exclude_nontradeable,False,,CAIIU,UNIT,Collective Acquisition Corp. II Units
CAPNR,polygon,polygon_only_exclude_nontradeable,False,,CAPNR,RIGHT,Cayson Acquisition Corp Right
CAPNU,polygon,polygon_only_exclude_nontradeable,False,,CAPNU,UNIT,Cayson Acquisition Corp Unit
CAQUU,polygon,polygon_only_exclude_nontradeable,False,,CAQUU,UNIT,Cambridge Acquisition Corp. Unit
CAQUW,polygon,polygon_only_exclude_nontradeable,False,,CAQUW,WARRANT,Cambridge Acquisition Corp. Warrants
CCAQU,polygon,polygon_only_exclude_nontradeable,False,,CCAQU,UNIT,Collective Acquisition Corp. Units
CCAQW,polygon,polygon_only_exclude_nontradeable,False,,CCAQW,WARRANT,Collective Acquisition Corp. Warrants
CCGWW,polygon,polygon_only_exclude_nontradeable,False,,CCGWW,WARRANT,Cheche Group Inc. Warrant
CCIIU,polygon,polygon_only_exclude_nontradeable,False,,CCIIU,UNIT,Cohen Circle Acquisition Corp. II Unit
CCIIW,polygon,polygon_only_exclude_nontradeable,False,,CCIIW,WARRANT,Cohen Circle Acquisition Corp. II Warrant
CCIXU,polygon,polygon_only_exclude_nontradeable,False,,CCIXU,UNIT,Churchill Capital Corp IX Unit
