symbol,source_feed,bucket,required_asset,last_date,polygon_ticker,security_type,note
AAAD,polygon,polygon_only_new_listing,False,,AAAD,ETF,PGIM AAA CLO Aggregate Duration ETF
AACP,polygon,polygon_only_new_listing,False,,AACP,CS,Apogee Acquisition Corp Class A Ordinary Shares
AADX,polygon,polygon_only_new_listing,False,,AADX,CS,"Applied Aerospace & Defense, Inc."
AAOG,polygon,polygon_only_new_listing,False,,AAOG,ETF,Leverage Shares 2X Long AAOI Daily ETF
ACGC,polygon,polygon_only_new_listing,False,,ACGC,CS,ACP Holdings Acquisition Corp. Class A Ordinary Shares
ACGO,polygon,polygon_only_new_listing,False,,ACGO,ETF,Hartford Alpha Capture Growth ETF
ACVU,polygon,polygon_only_new_listing,False,,ACVU,ETF,Hartford Alpha Capture Value ETF
ACYS,polygon,polygon_only_new_listing,False,,ACYS,ETF,FT Vest Laddered Autocallable Barrier & Resilient Income ETF
ADDS,polygon,polygon_only_new_listing,False,,ADDS,ETF,Hedgeye Index Adds ETF
AGNT,polygon,polygon_only_new_listing,False,,AGNT,CS,"eXp World Holdings, Inc. Common Stock"
AHD,polygon,polygon_only_new_listing,False,,AHD,ETF,GraniteShares Autocallable HOOD ETF
AIAI,polygon,polygon_only_new_listing,False,,AIAI,CS,AIAI Holdings Corporation Class A Common Stock
AIFA,polygon,polygon_only_new_listing,False,,AIFA,CS,"All In FutureTech Alliance, Inc. Common Stock"
AIFC,polygon,polygon_only_new_listing,False,,AIFC,CS,AI Financial Corporation Common Stock
AIIR,polygon,polygon_only_new_listing,False,,AIIR,CS,Air Global PLC Ordinary Shares
AIQD,polygon,polygon_only_new_listing,False,,AIQD,ETN,MicroSectors -3x Short Artificial Intelligence (AI) ETNs
AIQU,polygon,polygon_only_new_listing,False,,AIQU,ETN,MicroSectors 3x Long Artificial Intelligence (AI) ETNs
ALDB,polygon,polygon_only_new_listing,False,,ALDB,ETF,Aptus Laddered Deep Buffer ETF
AMA,polygon,polygon_only_new_listing,False,,AMA,ETF,Defiance Daily Target 2X Long AMAT ETF
AMAN,polygon,polygon_only_new_listing,False,,AMAN,CS,Amanat Acquisition Corp Class A Ordinary Shares
AMAU,polygon,polygon_only_new_listing,False,,AMAU,ETF,Leverage Shares 2X Long AMAT Daily ETF
AMKL,polygon,polygon_only_new_listing,False,,AMKL,ETF,Defiance Daily Target 2X Long AMKR ETF
AMPU,polygon,polygon_only_new_listing,False,,AMPU,ETF,Defiance Daily Target 2X Long AMPX ETF
AMSS,polygon,polygon_only_new_listing,False,,AMSS,CS,AMASS Brands Inc. Common Stock
APDB,polygon,polygon_only_new_listing,False,,APDB,ETF,Aptus April Deep Buffer ETF
APUS,polygon,polygon_only_new_listing,False,,APUS,CS,"Apimeds Pharmaceuticals US, Inc."
ARCL,polygon,polygon_only_new_listing,False,,ARCL,CS,ARC Group Acquisition I Corp Class A Ordinary Shares
ASD,polygon,polygon_only_new_listing,False,,ASD,ETF,Defiance Autism Impact ETF
ASEC,polygon,polygon_only_new_listing,False,,ASEC,ETF,American Century Securitized Credit ETF
ASTY,polygon,polygon_only_new_listing,False,,ASTY,ETF,Defiance Daily Target 2X Long ASTS ETF
ASUP,polygon,polygon_only_new_listing,False,,ASUP,ETF,T-REX 2X Long ASTS Daily Target ETF
ATC,polygon,polygon_only_new_listing,False,,ATC,ETF,GraniteShares Autocallable COIN ETF
AUC,polygon,polygon_only_new_listing,False,,AUC,CS,ATIF Holdings Limited Ordinary Shares
AV,polygon,polygon_only_new_listing,False,,AV,ETF,Corgi Aerospace & Commercial Aviation ETF
AVAZ,polygon,polygon_only_new_listing,False,,AVAZ,ETF,2x Avalanche ETF
AVLN,polygon,polygon_only_new_listing,False,,AVLN,CS,Avalyn Pharma Inc. Common Stock
AXTU,polygon,polygon_only_new_listing,False,,AXTU,ETF,T-REX 2X Long AXTI Daily Target ETF
AXTX,polygon,polygon_only_new_listing,False,,AXTX,ETF,Tradr 2X Long AXTI Daily ETF
AYA,polygon,polygon_only_new_listing,False,,AYA,CS,Aya Gold & Silver Inc. Common Shares
AZUL,polygon,polygon_only_new_listing,False,,AZUL,ADRC,"Azul S.A. American Depositary Shares, each representing two (2) Common Shares"
BAY,polygon,polygon_only_new_listing,False,,BAY,ETF,Corgi Bay Area Based ETF
BFLX,polygon,polygon_only_new_listing,False,,BFLX,ETF,iShares Flexible Equity Active ETF
BGCG,polygon,polygon_only_new_listing,False,,BGCG,ETF,Baillie Gifford International Concentrated Growth ETF
BGDE,polygon,polygon_only_new_listing,False,,BGDE,CS,"Big Digital Energy, Inc. Common Stock"
BGEG,polygon,polygon_only_new_listing,False,,BGEG,ETF,Baillie Gifford Emerging Markets ETF
BGGG,polygon,polygon_only_new_listing,False,,BGGG,ETF,Baillie Gifford Long Term Global Growth ETF
BGIA,polygon,polygon_only_new_listing,False,,BGIA,ETF,Baillie Gifford International Alpha ETF
BHYP,polygon,polygon_only_new_listing,False,,BHYP,ETV,Bitwise Hyperliquid ETF
BIOY,polygon,polygon_only_new_listing,False,,BIOY,ETF,GraniteShares YieldBOOST Biotech ETF
BLCK,polygon,polygon_only_new_listing,False,,BLCK,ETF,Corgi Crypto Infrastructure ETF
BNY,polygon,polygon_only_new_listing,False,,BNY,CS,Bank of New York Mellon Corporation
BOT,polygon,polygon_only_new_listing,False,,BOT,CS,"RoboStrategy, Inc. Common Stock"
BREW,polygon,polygon_only_new_listing,False,,BREW,ETF,Corgi Coffee & Energy Drinks ETF
BROL,polygon,polygon_only_new_listing,False,,BROL,ETF,Baron Risk Optimized Large Cap ETF
BRSM,polygon,polygon_only_new_listing,False,,BRSM,ETF,MFS Blended Research Small-Mid Cap ETF
BRUN,polygon,polygon_only_new_listing,False,,BRUN,CS,Boost Run Inc. Class A Common Stock
BRZX,polygon,polygon_only_new_listing,False,,BRZX,ETF,Corgi Brazil 2x Daily ETF
BTCK,polygon,polygon_only_new_listing,False,,BTCK,ETV,7RCC Spot Bitcoin and Carbon Credit Futures ETF
BTCU,polygon,polygon_only_new_listing,False,,BTCU,ETF,DIREXION DAILY BITCOIN BULL 2X ETF
BUYB,polygon,polygon_only_new_listing,False,,BUYB,ETF,ProShares S&P 500 Buyback Aristocrats ETF
BWIV,polygon,polygon_only_new_listing,False,,BWIV,CS,Blue Water Acquisition Corp. IV
BXDC,polygon,polygon_only_new_listing,False,,BXDC,CS,Blackstone Digital Infrastructure Trust Inc.
BZZ,polygon,polygon_only_new_listing,False,,BZZ,ETF,Corgi Drones & Urban Air Mobility ETF
CATG,polygon,polygon_only_new_listing,False,,CATG,ETF,Leverage Shares 2X Long CAT Daily ETF
CBIL,polygon,polygon_only_new_listing,False,,CBIL,ETF,Corgi 3-12 Month T-Bill ETF
CBOT,polygon,polygon_only_new_listing,False,,CBOT,ETF,Corgi Robots & Humanoids ETF
CBRG,polygon,polygon_only_new_listing,False,,CBRG,ETF,Leverage Shares 2X Long CBRS Daily ETF
