symbol,source_feed,bucket,required_asset,last_date,polygon_ticker,security_type,note
A,both,common_to_both,False,2026-04-22,A,CS,matched
AA,both,common_to_both,False,2026-04-22,AA,CS,matched
AAA,both,common_to_both,False,2026-04-22,AAA,ETF,matched
AAAA,both,common_to_both,False,2026-04-22,AAAA,ETF,matched
AAAC,both,common_to_both,False,2026-04-22,AAAC,ETF,matched
AAAU,both,common_to_both,False,2026-04-22,AAAU,ETF,matched
AACB,both,common_to_both,False,2026-04-22,AACB,CS,matched
AACBR,both,common_to_both,False,2026-04-22,AACBR,RIGHT,matched
AACG,both,common_to_both,False,2026-04-22,AACG,ADRC,matched
AACI,both,common_to_both,False,2026-04-22,AACI,CS,matched
AACIU,both,common_to_both,False,2026-04-22,AACIU,UNIT,matched
AACIW,both,common_to_both,False,2026-04-22,AACIW,WARRANT,matched
AACO,both,common_to_both,False,2026-04-22,AACO,CS,matched
AACPU,both,common_to_both,False,2026-04-22,AACPU,UNIT,matched
AADR,both,common_to_both,False,2026-04-22,AADR,ETF,matched
AAEQ,both,common_to_both,False,2026-04-22,AAEQ,ETF,matched
AAL,both,common_to_both,False,2026-04-22,AAL,CS,matched
AALG,both,common_to_both,False,2026-04-22,AALG,ETF,matched
AAME,both,common_to_both,False,2026-04-22,AAME,CS,matched
AAMI,both,common_to_both,False,2026-04-22,AAMI,CS,matched
AAOI,both,common_to_both,False,2026-04-22,AAOI,CS,matched
AAON,both,common_to_both,False,2026-04-22,AAON,CS,matched
AAOX,both,common_to_both,False,2026-04-22,AAOX,ETF,matched
AAP,both,common_to_both,False,2026-04-22,AAP,CS,matched
AAPB,both,common_to_both,False,2026-04-22,AAPB,ETF,matched
AAPD,both,common_to_both,False,2026-04-22,AAPD,ETF,matched
AAPG,both,common_to_both,False,2026-04-22,AAPG,ADRC,matched
AAPL,both,common_to_both,False,2026-04-22,AAPL,CS,matched
AAPR,both,common_to_both,False,2026-04-22,AAPR,ETF,matched
AAPU,both,common_to_both,False,2026-04-22,AAPU,ETF,matched
AAPW,both,common_to_both,False,2026-04-22,AAPW,ETF,matched
AAPX,both,common_to_both,False,2026-04-22,AAPX,ETF,matched
AAPY,both,common_to_both,False,2026-04-22,AAPY,ETF,matched
AARD,both,common_to_both,False,2026-04-22,AARD,CS,matched
AAT,both,common_to_both,False,2026-04-22,AAT,CS,matched
AAUA,both,common_to_both,False,2026-04-22,AAUA,ETF,matched
AAUC,both,common_to_both,False,2026-04-22,AAUC,CS,matched
AAUM,both,common_to_both,False,2026-04-22,AAUM,ETF,matched
AAUS,both,common_to_both,False,2026-04-22,AAUS,ETF,matched
AAVM,both,common_to_both,False,2026-04-22,AAVM,ETF,matched
AAXJ,both,common_to_both,False,2026-04-22,AAXJ,ETF,matched
AB,both,common_to_both,False,2026-04-22,AB,CS,matched
ABAT,both,common_to_both,False,2026-04-22,ABAT,CS,matched
ABBV,both,common_to_both,False,2026-04-22,ABBV,CS,matched
ABCB,both,common_to_both,False,2026-04-22,ABCB,CS,matched
ABCL,both,common_to_both,False,2026-04-22,ABCL,CS,matched
ABCS,both,common_to_both,False,2026-04-22,ABCS,ETF,matched
ABEO,both,common_to_both,False,2026-04-22,ABEO,CS,matched
ABEQ,both,common_to_both,False,2026-04-22,ABEQ,ETF,matched
ABEV,both,common_to_both,False,2026-04-22,ABEV,ADRC,matched
ABFL,both,common_to_both,False,2026-04-22,ABFL,ETF,matched
ABG,both,common_to_both,False,2026-04-22,ABG,CS,matched
ABI,both,common_to_both,False,2026-04-22,ABI,ETF,matched
ABIG,both,common_to_both,False,2026-04-22,ABIG,ETF,matched
ABLD,both,common_to_both,False,2026-04-22,ABLD,ETF,matched
ABLG,both,common_to_both,False,2026-04-22,ABLG,ETF,matched
ABLS,both,common_to_both,False,2026-04-22,ABLS,ETF,matched
ABLV,both,common_to_both,False,2026-04-22,ABLV,CS,matched
ABM,both,common_to_both,False,2026-04-22,ABM,CS,matched
ABNB,both,common_to_both,False,2026-04-22,ABNB,CS,matched
ABNG,both,common_to_both,False,2026-04-22,ABNG,ETF,matched
ABNY,both,common_to_both,False,2026-04-22,ABNY,ETS,matched
ABOS,both,common_to_both,False,2026-04-22,ABOS,CS,matched
ABOT,both,common_to_both,False,2026-04-22,ABOT,ETF,matched
ABR,both,common_to_both,False,2026-04-22,ABR,CS,matched
ABR-D,both,common_to_both,False,2026-04-22,ABRpD,PFD,matched
ABR-E,both,common_to_both,False,2026-04-22,ABRpE,PFD,matched
ABR-F,both,common_to_both,False,2026-04-22,ABRpF,PFD,matched
ABSI,both,common_to_both,False,2026-04-22,ABSI,CS,matched
ABT,both,common_to_both,False,2026-04-22,ABT,CS,matched
ABTC,both,common_to_both,False,2026-04-22,ABTC,CS,matched
ABTS,both,common_to_both,False,2026-04-22,ABTS,CS,matched
ABUF,both,common_to_both,False,2026-04-22,ABUF,ETF,matched
ABUS,both,common_to_both,False,2026-04-22,ABUS,CS,matched
ABVC,both,common_to_both,False,2026-04-22,ABVC,CS,matched
ABVX,both,common_to_both,False,2026-04-22,ABVX,ADRC,matched
ABX,both,common_to_both,False,2026-04-22,ABX,CS,matched
ABXB,both,common_to_both,False,2026-04-22,ABXB,ETF,matched
