date,ticker,target_shares,target_value,target_weight,sleeves
2026-06-08,CIEN,,800.5,0.007995,C7_Momentum
2026-06-08,DELL,,474.78,0.004742,C7_Momentum
2026-06-08,LITE,,622.82,0.00622,C7_Momentum
2026-06-08,MU,,571.23,0.005705,C7_Momentum
2026-06-08,SNDK,,682.07,0.006812,C7_Momentum
2026-06-08,STX,,1115.79,0.011144,C7_Momentum
2026-06-08,WDC,,955.17,0.009539,C7_Momentum
2026-06-08,GOOG,,4109.14,0.041039,MR_NQ100
2026-06-08,SBUX,,6542.32,0.06534,MR_NQ100
2026-06-08,GOOGL,,3999.51,0.039944,MR_NQ100
2026-06-08,IAU,,4623.02,0.046171,Defensive_ETF
2026-06-08,TLT,,7509.56,0.075,Defensive_ETF
